KEY	AUTHOR+TITLE	BIB FILE
0563KhatibGhunyatShahri2001	Khatib al-Baghdadi, Ab... --- Ghunyat al-multamis i...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0563KhatibGhunyatShahri2001.bib
0746ShiraziTabaqatCabbas1970	b.Ali Shirazi (al-),... --- Tabaqat al-fuqahaʾ	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0746ShiraziTabaqatCabbas1970.bib
0746ShiraziTabaqatCabbas1980	b.Ali Shirazi (al-),... --- Tabaqat al-fuqahaʾ	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0746ShiraziTabaqatCabbas1980.bib
0746ShiraziTaqakatHusayni1937	b.Ali Shirazi (al-),... --- Tabaqat al-fuqahaʾ	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0746ShiraziTaqakatHusayni1937.bib
0748DhahabiSiyarArnaut1981	Dhahabi (al-), Muhamm... --- Siyar alam al-nubal...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0748DhahabiSiyarArnaut1981.bib
0748DhahabiSiyarMacruf1996	Dhahabi (al-), Muhamm... --- Siyar alam al-nubal...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0748DhahabiSiyarMacruf1996.bib
0748DhahabiTarikhIslamMacruf2003	Dhahabi (al-) --- Taʾrikh al-islam wa-w...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0748DhahabiTarikhIslamMacruf2003.bib
0748DhahabiTarikhIslamTadmuri1990	Dhahabi (al-) --- Taʾrikh al-islam wa-w...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0748DhahabiTarikhIslamTadmuri1990.bib
0900AbuCabdAllahHimyariRawdMictarLevi1937	Himyari (al-), Muham... --- Sifat jazirat al-And...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0900AbuCabdAllahHimyariRawdMictarLevi1937.bib
0900AbuCabdAllahHimyariRawdMictarLevi1969	Himyari (al-), Muham... --- Sifat jazirat al-And...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0900AbuCabdAllahHimyariRawdMictarLevi1969.bib
0900AbuCabdAllahHimyariRawdMictarLevi1988	Himyari (al-), Muham... --- Sifat jazirat al-And...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0900AbuCabdAllahHimyariRawdMictarLevi1988.bib
0900AbuCabdAllahHimyariRawdMictarRiyad2013	Himyari (al-), Muham... --- Sifat jazirat al-And...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0900AbuCabdAllahHimyariRawdMictarRiyad2013.bib
0902SakhawiBuldaniyyatQattan2001	al-Rahman Sakhawi (al... --- al-Buldaniyat	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiBuldaniyyatQattan2001.bib
0902SakhawiDawLamicBayrut1966	al-Rahman Sakhawi (al... --- al-Dawʾ al-lami li-...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiDawLamicBayrut1966.bib
0902SakhawiDawLamicBayrut1992	al-Rahman Sakhawi (al... --- al-Dawʾ al-lami li-...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiDawLamicBayrut1992.bib
0902SakhawiDawLamicCabdRahman2003	al-Rahman Sakhawi (al... --- al-Dawʾ al-lami li-...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiDawLamicCabdRahman2003.bib
0902SakhawiDawLamicQahirat1935	al-Rahman Sakhawi (al... --- al-Dawʾ al-lami li-...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiDawLamicQahirat1935.bib
0902SakhawiDawLamicRiyad2013	al-Rahman Sakhawi (al... --- al-Dawʾ al-lami li-...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiDawLamicRiyad2013.bib
0902SakhawiIclanBiTawbikhBayrut1983	al-Rahman Sakhawi (al... --- al-Ilan bi-al-tawbi...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiIclanBiTawbikhBayrut1983.bib
0902SakhawiIclanBiTawbikhBayrut1986	al-Rahman Sakhawi (al... --- al-Ilan bi-al-tawbi...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiIclanBiTawbikhBayrut1986.bib
0902SakhawiIclanBiTawbikhBayrut1992	al-Rahman Sakhawi (al... --- al-Ilan bi-al-tawbi...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiIclanBiTawbikhBayrut1992.bib
0902SakhawiIclanBiTawbikhBayrutXXXX	al-Rahman Sakhawi (al... --- al-Ilan bi-al-tawbi...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiIclanBiTawbikhBayrutXXXX.bib
0902SakhawiIclanBiTawbikhDimashq1930	al-Rahman Sakhawi (al... --- al-Ilan bi-al-tawbi...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiIclanBiTawbikhDimashq1930.bib
0902SakhawiIclanBiTawbikhKhisht1989	al-Rahman Sakhawi (al... --- al-Ilan bi-al-tawbi...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiIclanBiTawbikhKhisht1989.bib
0902SakhawiIclanBiTawbikhRosenthal1963	al-Rahman Sakhawi (al... --- al-Ilan bi-al-tawbi...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiIclanBiTawbikhRosenthal1963.bib
0902SakhawiManhalCadhbBayrut2005	al-Rahman Sakhawi (al... --- Al-manhal al-adhb al...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiManhalCadhbBayrut2005.bib
0902SakhawiManhalCadhbMadinat1989	al-Rahman Sakhawi (al... --- Al-manhal al-adhb al...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiManhalCadhbMadinat1989.bib
0902SakhawiTuhfaLatifaBayrut1993	al-Rahman Sakhawi (al... --- al-Tuhfat al-latifat...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiTuhfaLatifaBayrut1993.bib
0902SakhawiTuhfaLatifaDimashq2010	al-Rahman Sakhawi (al... --- al-Tuhfat al-latifat...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiTuhfaLatifaDimashq2010.bib
0902SakhawiTuhfaLatifaMadinat2008	al-Rahman Sakhawi (al... --- al-Tuhfat al-latifat...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiTuhfaLatifaMadinat2008.bib
0902SakhawiTuhfaLatifaQahirat1957	al-Rahman Sakhawi (al... --- al-Tuhfat al-latifat...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiTuhfaLatifaQahirat1957.bib
0902SakhawiTuhfaLatifaQahirat1979	al-Rahman Sakhawi (al... --- al-Tuhfat al-latifat...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiTuhfaLatifaQahirat1979.bib
0902SakhawiTuhfaLatifaRiyad2013	al-Rahman Sakhawi (al... --- al-Tuhfat al-latifat...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0902SakhawiTuhfaLatifaRiyad2013.bib
0904BurayhiTabaqatSulahaYamanHibshi1983	al-Rahman Burayhi (a... --- Tabaqat sulahāʾ al-...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0904BurayhiTabaqatSulahaYamanHibshi1983.bib
0904BurayhiTabaqatSulahaYamanHibshi1994	al-Rahman Burayhi (a... --- Tabaqat sulahāʾ al-...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0904BurayhiTabaqatSulahaYamanHibshi1994.bib
0904BurayhiTabaqatSulahaYamanHibshi2015	al-Rahman Burayhi (a... --- Tabaqat sulahāʾ al-...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0904BurayhiTabaqatSulahaYamanHibshi2015.bib
0904BurayhiTabaqatSulahaYamanRiyad2013	al-Rahman Burayhi (a... --- Tabaqat sulahāʾ al-...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0904BurayhiTabaqatSulahaYamanRiyad2013.bib
0905BasrawiTarikhBayrut1988	Basrawi (al-), Alaʾ... --- Tarikh al-Basrawi: sa...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0905BasrawiTarikhBayrut1988.bib
0905BasrawiTarikhRiyad2013	Basrawi (al-), Alaʾ... --- Tarikh al-Basrawi	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0905BasrawiTarikhRiyad2013.bib
0909IbnMibradHanbaliMucjamKutubBushri1989	Ibn al-Mibrad, Yusuf... --- Mujam al-kutub	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0909IbnMibradHanbaliMucjamKutubBushri1989.bib
0909IbnMibradHanbaliMucjamKutubRiyad2013	Ibn al-Mibrad, Yusuf... --- Mujam al-kutub	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0909IbnMibradHanbaliMucjamKutubRiyad2013.bib
0911SamhudiKhulasaWafaWafaCumar2006	Samhudi (al-), Ali ... --- Khulasat al-wafa bi-a...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0911SamhudiKhulasaWafaWafaCumar2006.bib
0911SamhudiKhulasaWafaWafaFaqih1983	Samhudi (al-), Ali ... --- Khulasat al-wafa bi-a...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0911SamhudiKhulasaWafaWafaFaqih1983.bib
0911SamhudiKhulasaWafaWafaMadinat1972	Samhudi (al-), Ali ... --- Khulasat al-wafa bi-a...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0911SamhudiKhulasaWafaWafaMadinat1972.bib
0911SamhudiKhulasaWafaWafaMazidi2012	Samhudi (al-), Ali ... --- Khulasat al-wafa bi-a...	https://github.com/OpenITI/bibliography/blob/main/bibFiles/0911SamhudiKhulasaWafaWafaMazidi2012.bib
